Data Series,2025 2Q ,2025 1Q ,2024 4Q ,2024 3Q ,2024 2Q ,2024 1Q ,2023 4Q ,2023 3Q ,2023 2Q ,2023 1Q ,2022 4Q ,2022 3Q ,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q ,1991 4Q ,1991 3Q ,1991 2Q ,1991 1Q ,1990 4Q ,1990 3Q ,1990 2Q ,1990 1Q 
GDP At Current Market Prices,186680.9,186585.7,187868.1,182225.6,183758.4,177584,175605.3,167828.4,168853.5,166400.3,175392.6,177181.2,182689.3,166503,158750.6,148285.4,143206,136311.1,127977.9,119663.2,107770.2,126347.5,131417.1,128968.5,126324.4,126434.4,133747.6,129033,124284.9,121614.8,126509.3,117601.7,114639.5,115836.6,116967.3,110170.7,107824.2,106644.1,109464.2,106226,104401.7,103352.2,103905.2,99531.6,98324.3,97186.8,99473.5,95966.9,95558.7,93871.2,94875.2,90177.1,92559.5,91158.7,90424.3,88171.1,86275.4,86497.1,86094.5,81849.2,81173.4,77863,76620,72667.9,68325.9,64780.7,66707,70075.9,68444.9,68713.8,72156.4,70005.2,66974,63562,63376.5,59703.4,57286.5,55792.4,57313.8,53712.8,51193.3,50503.1,51844.4,49227.6,46731.1,46629.9,45275,42593.9,40129.5,42119.5,42377.9,41446.2,41324.7,40549.3,39813.2,39432.8,40180.2,41459.4,44367.6,42949.8,40050.2,38264.8,38677.5,37466.3,36198.8,33909.9,35739.4,35884.4,35854.7,35996.4,38781.9,38251.6,36840.4,34790.5,35913.4,33910.5,33179,32774.3,33360.3,32070.8,30105.4,28926.8,30273.1,29045,26949,26288.3,26754.9,24980.3,23633.7,22554.2,22905.1,21674.3,20381.9,19958.9,20812.1,20151.6,19058.1,18521,18805,17930.1,17087.7,16669.5
  Private Consumption Expenditure,59707.9,59049.8,59118.3,57419.3,57221.2,56561.6,56390.1,52471.2,52972.4,52557.4,52405,49960.9,48605.3,45455.4,44556.2,41322.2,40673.4,41895,40668.5,38328.9,31791.4,43796.6,46777.8,45000.3,45380.5,45793.9,45937.7,43141.9,43829.8,42955,44147.8,40921,41224.5,40799.6,41445.7,39053.6,39861.6,40664.6,40899.5,38197.7,39297.1,38949.5,38931.3,36661.8,37477.1,36872,36865.5,35326.6,35993.8,35499.6,35793.9,33995.5,34066.8,33717.5,33914.8,31724,32039.4,30977.3,31289.8,29244.5,29277.2,29006,28742.5,27725.8,27085.3,26870.9,27943.4,27384.7,27311.7,26802.4,26690.4,25016.1,24719.8,23833.6,23589.7,22196.8,22161.4,22043,21921.8,20856.4,20927.4,21060,20821.1,20208.4,20272.5,20356.8,20215.3,19478.7,18440.9,19328.9,19294.8,19047.8,19115.2,19065.7,18282.9,18485,18747.2,18886.4,17886,17497.4,17078.4,16864,16036.2,15363.3,15057.1,14822.7,13936.3,13803.1,14106.3,14758.6,15125.7,15163.2,14332.4,14517.6,14323,13665.7,13397.2,13497.5,13312.8,12632.4,12435.1,12486.3,12637.5,12024.5,11511.8,12189.5,11373.9,10634.3,10320.4,10388.2,9675.6,9191.3,8956.8,8971.4,8949.1,8480.7,8215.5,8318,8320.8,7719.8,7678.6,7706.2
  Government Consumption Expenditure,16874.2,22446.7,20585.1,17863.3,15198.4,23843.1,16594.1,15631,14073.6,21564.7,16729.9,14900.3,13594.8,19631,16092.2,14365.3,12820.2,19136.6,14976.9,14067.6,12445.1,17583.5,13662.7,12151.9,10368.3,16537.8,13298.1,11560.6,10101.2,15714.7,12903.9,11226.4,9735.8,14409,12077.6,10297.1,9259.1,13571.6,11664.3,10265.5,8518.1,12704.9,10381.1,8815.9,7969.8,11256,9991.3,8506.7,7015.2,11989.4,8510.7,7525.2,5821.6,10807.7,8409.4,7395.4,5927.8,10722.8,8925.9,7096.8,5572.4,10094.3,7165.7,6311.9,5000.5,9563.6,6981.3,6080.9,4870,9772.1,6643.6,5490.3,4647.6,8132.5,6006.4,5170.3,3957.6,8261.8,5778,4311.1,3738.3,7226,5263.5,4206.8,3867.9,6724.8,4877.1,4284.4,4143.6,6112.3,4702.2,4802.1,3945.2,6169.7,4618.5,4474.7,3380.5,6205,5467.6,3350.9,2580.3,5999.4,3525,2769.2,2195.9,5238.4,3620.4,2916.7,2502.8,4581.1,3790.3,2952.6,2113.5,4166.4,3209.4,3242,1862.9,3843,3083.9,2458.3,1758.6,2968.8,2632.2,2204.9,1621.7,2737.6,2257.7,2119.1,1408.1,3040.3,2089.7,1745.8,1258.4,2401.3,1947.5,1621.3,1208,2487.3,1826.1,1624.8,952.9,2303.4
  Gross Fixed Capital Formation,41494.6,40698.7,42370.5,40489.4,39775.5,37523.5,39254.5,37721.4,37739.1,37273.5,36894.2,37682.6,36352.1,34719.7,34916.9,32568.9,31898.9,30388.1,28356.9,22759,21040,28982.1,29982.8,29311.3,29837.4,28306.4,29103.2,27710.3,29289.4,27801.8,31965.2,29216.1,30171.6,28282.9,30283.4,27743,29304.5,27227.2,30428.2,28923,28880.3,27039.6,29433.6,27994.2,27297.6,27491.4,27074.7,27838.7,25917.9,25193.7,25352.6,24074.9,23753.7,24284.8,22967,23739.2,21971.3,20095.3,21768,20913.1,20461.1,20465.7,20987,20321.7,20843.8,19282.9,19460.8,19381.1,19323.6,18480.3,19453.1,15948.6,15962.4,15107.8,15327.5,13911.7,12492.2,12790,13664.8,12252.5,11559.5,11849.4,11551.4,12752.6,11718.1,11189.1,10858.7,10681.2,10117.4,10474.5,10828.4,10803.5,11226.5,11468.1,11984.9,12545.1,12239.5,12923.3,13276.7,14460.8,12501.4,13303.9,12487.9,13556.2,12290.2,12230.5,12546.2,13717.3,13371.5,14909.4,15825.4,15204.3,13327.6,12779.3,14181.1,12133.8,13005.6,12106.9,11934.6,10396.5,9708.3,9265.1,10071.8,9510.2,8931.7,9030.3,9287.1,8567.8,8340.3,7729.4,8326.7,7393.4,7236.7,6933.7,6552.9,6662.5,6669.9,6147.5,5856.4,5795.8,5325.9,5383.6
  Changes In Inventories,-2384.4,1353.7,1280.3,221.2,1926.9,-1206.6,-2489.3,-1361.8,-2510.7,-1447.7,2824.3,1079.6,3619.2,2718.1,3275.9,3272.1,2633,1931.6,1921.5,2084.8,2493.8,2228.8,2403.1,2119.5,2258.7,1508.4,4038.5,4232.2,2307.3,1542.1,3603.5,2559.2,2204.2,1448,3206.9,-473.4,-1495.1,775.2,-3507.2,-180,1170.8,-5398.1,-452.3,-1135.2,4038.7,2742.3,1856.2,1944.4,3335.5,2221.2,3076.6,1095.3,6722.4,-447.2,1977.4,-1378.8,4883.2,-467.5,-1612.7,-473.7,6655.1,2260.3,-103.3,1138.1,-792.8,-4385.7,4299,1656.2,3218.6,-3199.8,2666.3,-1559.7,1046.5,-5724.7,-1443.9,1445.1,2062.4,-3734.3,-1779.1,-1284.1,1237.2,-1750,626.5,-1516.2,236.6,-2047.5,-2066.2,-4215.5,-1746.5,-4801.7,-1018.2,-1409.1,1966.5,-2319.3,-2054,-1371.5,295.6,-2143.3,3154.8,1072,2685.6,-2195.7,-34.3,-89.8,-30.6,-2597.9,-2840.5,-3297.4,-1099,-2127.1,-434.5,54.5,550.2,-561.8,-750,-2220.3,-120.2,-760.5,255.7,581.8,1507.8,-1480.1,-1227.9,-986.4,263.8,1450.8,631.6,192.3,1719.7,-38.8,865.2,-462,842.3,-976.1,-503.8,213.5,364.4,581.9,424.9,-68.5,1639.4,775.2
  Net Exports Of Goods & Services,68923,59853,63745.4,65566.8,67763.3,60252.1,67024.1,64139.5,67409.2,55456,65408.8,73212.7,78120.3,63115.6,59424.8,55974.2,54470.5,42816,40116.8,40676.7,38525.3,32547.2,37985.2,39795.4,38301.5,34718.8,40033.3,41775.7,37512.3,32265,32286.9,32854.5,31065,30455.4,28595.4,32227.4,29673.2,25477.2,29777.7,28307.9,26795.3,30710.1,26205.1,27486,21635,18186.3,24368.8,22334.1,23768.8,18486.5,21820.2,23273.9,22134.2,22111,23064.4,26396.3,22774.4,24590.6,24938.9,24093.1,20321,16683.2,18362.5,17007.1,16525.9,14458.9,9309.7,15309.7,14591.1,17388.1,17037.3,25162.8,20670.1,22403.2,20759.3,17522.3,16743.4,17503.7,18793.9,18283.7,14281,12221.8,14280.3,14426.5,11408.2,11175.8,12314.4,13316.8,10033.4,11889.9,9313.4,8605.2,5748.7,6864.6,7764.3,6084.6,6298.5,6392.7,4135,6584.6,4889.8,4825.1,7090.1,6050.8,6882.8,4846.8,9165.9,9408.4,7552.8,4714.1,5130.8,5543.8,6707.4,4515.3,5252.9,7448.4,5045.7,4486.6,4478.7,5993.1,4644.4,5772,6148.6,6318.8,4542.6,1190.4,2609.9,3551.4,1818.6,1699.7,1653.7,3616.1,2183.8,2855.4,3766.2,2827.7,2595.5,1181.7,2429,2527.2,1259.9,870.4
    Exports Of Goods And Services,336323.6,325077.9,338195.8,329160.8,326161.7,314116,321392.6,310964.1,304210.3,295667,314132.4,342530,342642.1,306782.5,292203.5,270252.3,260815.5,248424.6,228664.3,218278.3,199815.9,228992.4,234421.9,228391.4,227107.1,217787.4,231423.6,233915.3,226204.4,214916.1,214775.4,204584.9,199883,195820.3,194042.3,181651.3,180745,170227.5,189531,189681.4,189397.2,186749.5,191888.2,193274.9,193919,186712.5,191865.9,193657.4,190158.3,175114.9,179293.6,177013,185227.7,183909.6,181912.3,181784.6,177177.5,173553.9,167535.5,167736.3,162306.4,149839,147384.7,141318,129013.5,121219.4,139684.3,168344.3,161835,157445.6,151664.2,150026.2,142004.7,136549.2,137874,139191.5,133233.4,128232,132960.5,124807.3,114781.6,106417,110427.1,109253.7,102043.9,94268,93497.3,88328.9,81027.4,81781.8,79816.1,78504.5,76604.4,70102.2,72732.5,71185,74113.9,76219,84630.8,83449.2,75060,68830.1,71937.1,66944.1,63820,55792.8,58787.3,61641.8,59068.2,59801,66563.2,65325,62512.4,57283.6,61810.6,60154.1,58529.2,57989.4,60064.5,59036.6,54878.5,51449.5,50794,50440.4,47326.9,38498.3,41433.4,41524.5,39410.2,35925.1,37452.6,35332.3,32841.3,31711.8,33097.2,33712.3,33154.7,32416.7,34908.6,31137.8,29612.3,29248.4
    Imports Of Goods And Services,267400.6,265224.9,274450.4,263594,258398.4,253863.9,254368.5,246824.6,236801.1,240211,248723.6,269317.3,264521.8,243666.9,232778.7,214278.1,206345,205608.6,188547.5,177601.6,161290.6,196445.2,196436.7,188596,188805.6,183068.6,191390.3,192139.6,188692.1,182651.1,182488.5,171730.4,168818,165364.9,165446.9,149423.9,151071.8,144750.3,159753.3,161373.5,162601.9,156039.4,165683.1,165788.9,172284,168526.2,167497.1,171323.3,166389.5,156628.4,157473.4,153739.1,163093.5,161798.6,158847.9,155388.3,154403.1,148963.3,142596.6,143643.2,141985.4,133155.8,129022.2,124310.9,112487.6,106760.5,130374.6,153034.6,147243.9,140057.5,134626.9,124863.4,121334.6,114146,117114.7,121669.2,116490,110728.3,114166.6,106523.6,100500.6,94195.2,96146.8,94827.2,90635.7,83092.2,81182.9,75012.1,70994,69891.9,70502.7,69899.3,70855.7,63237.6,64968.2,65100.4,67815.4,69826.3,80495.8,76864.6,70170.2,64005,64847,60893.3,56937.2,50946,49621.4,52233.4,51515.4,55086.9,61432.4,59781.2,55805,52768.3,56557.7,52705.7,53483.5,53502.8,55585.8,53043.5,50234.1,45677.5,44645.4,44121.6,42784.3,37307.9,38823.5,37973.1,37591.6,34225.4,35798.9,31716.2,30657.5,28856.4,29331,30884.6,30559.2,31235,32479.6,28610.6,28352.4,28378
  Statistical Discrepancy,2065.6,3183.8,768.5,665.6,1873.1,610.3,-1168.2,-772.9,-830.1,996.4,1130.5,345.1,2397.5,863.2,484.6,782.7,710.1,143.7,1937.3,1746.2,1474.6,1209.2,605.5,590.1,178,-430.8,1336.7,612.4,1244.9,1336.2,1601.9,824.5,238.5,441.6,1358.4,1323.1,1220.9,-1071.7,201.8,711.9,-259.9,-653.8,-593.6,-291.1,-94,638.8,-683,16.4,-472.4,480.8,321.2,212.3,60.8,684.8,91.3,295,-1320.6,578.6,784.6,975.3,-1113.4,-646.5,1465.6,163.3,-336.8,-1009.9,-1287.2,263.3,-870.2,-529.3,-334.4,-52.9,-72.3,-190.4,-862.4,-542.8,-130.4,-1071.8,-1065.6,-706.9,-550.1,-104.1,-698.3,-850.5,-772.1,-769.1,-924.3,-951.7,-859.3,-884.4,-742.6,-403.3,-677.5,-699.5,-783.3,-785,-781.2,-804.8,447.5,-16,314.7,-532,-427.3,-183.4,-196.6,-630.6,-688.9,-663.7,-579.6,-839.7,-655.8,-666.8,-190.7,-626.3,-303,-359.1,-12.3,-399.3,294.5,8.7,51.2,-85.4,10.9,-26.9,77.3,-310.3,594.7,-84.6,26.6,-264.6,294.2,189.7,-96.1,-226.8,100.2,345.9,4.9,-195.4,-52.3,331,231,-369.3
GDP_deflator,129.9,132.2,128.3,128,133.5,130.9,126,124.7,126.9,126.7,129.8,134.1,139.1,128,120.7,117.3,114.4,109.3,105,103.6,101.8,105.8,107.4,107,105.1,107.2,111,107.9,104.8,104.7,106.6,101.3,101.3,104.3,102.9,99.9,98.7,100.5,101.1,99.5,98.6,100.8,98.1,96.6,95.8,97.6,98.1,96.6,96.2,98.3,98.4,96.3,97.4,98.7,98.2,96.1,96.4,98.2,98.4,96.1,93.4,96.5,99.2,94.1,93.2,93.3,92.3,93.3,92.3,91.4,96.4,93.1,93.3,91.4,90.3,88.1,87.8,87.1,88.6,86.1,85.4,86.9,87.5,85.6,82.8,84.6,82.3,80.3,80.7,84.3,83.9,82.3,82.9,84.5,83.6,83.5,84,85.5,88.8,86.5,84.2,83.2,84.7,82.6,82.3,80.4,83.8,85.5,86,87.2,88.6,86.6,86.2,85.5,87.9,85.1,85,85.2,86.4,83.9,83.7,84,84.4,82.3,80.5,80.4,81.3,79.1,77.9,78.2,78.6,76.5,75.5,75.4,77.6,75.9,74.4,74,74.7,72.5,71,70.9
